query_id,true_family,predicted_family,similarity,top1_neighbor_id,reasons,query_length,neighbor_length
Q10664,STE,CMGC,0.9889307,Q24324,STE is diverse family; High similarity (0.989) - possible mislabel?; Correct family at rank 2,288,278
F4J6F6,TK,AGC,0.9888694,Q6AX33,High similarity (0.989) - possible mislabel?; Correct family not in top-5,290,274
B2DD29,AGC,CAMK,0.9884744,P54645,High similarity (0.988) - possible mislabel?; Correct family not in top-5,252,253
Q55CZ1,TK,TKL,0.98801494,Q75JK0,High similarity (0.988) - possible mislabel?; Correct family at rank 2,256,271
Q9LE81,TK,AGC,0.9879197,Q6AX33,High similarity (0.988) - possible mislabel?; Correct family not in top-5,290,274
Q55FV4,TK,TKL,0.98781025,Q552C6,High similarity (0.988) - possible mislabel?; Correct family at rank 2,250,241
O01700,STE,CMGC,0.98774076,Q60700,STE is diverse family; High similarity (0.988) - possible mislabel?; Correct family not in top-5,243,239
Q54DC8,TK,STE,0.9872247,Q54B33,High similarity (0.987) - possible mislabel?; Correct family not in top-5,259,254
B1WAR9,AGC,TK,0.9871257,Q54HD2,High similarity (0.987) - possible mislabel?; Correct family at rank 2,170,167
Q54Y26,TK,AGC,0.98691255,Q6AX33,High similarity (0.987) - possible mislabel?; Correct family not in top-5,295,274
Q55F27,TK,TKL,0.9869042,Q552C6,High similarity (0.987) - possible mislabel?; Correct family at rank 2,195,241
Q54IH8,TK,CAMK,0.9864448,P38622,High similarity (0.986) - possible mislabel?; Correct family at rank 2,308,294
E1C2I2,AGC,TK,0.98619896,Q54HD2,High similarity (0.986) - possible mislabel?; Correct family at rank 2,166,167
Q6DBX4,AGC,TK,0.98612934,Q54HD2,High similarity (0.986) - possible mislabel?; Correct family at rank 2,169,167
E1BFR5,AGC,TK,0.98601085,Q54HD2,High similarity (0.986) - possible mislabel?; Correct family at rank 2,169,167
A8X0C4,CAMK,TK,0.98567295,Q54WW7,High similarity (0.986) - possible mislabel?; Correct family at rank 2,264,262
Q12263,CAMK,AGC,0.9856583,Q7TPS0,High similarity (0.986) - possible mislabel?; Correct family at rank 2,271,258
C0LGJ1,TK,CMGC,0.9855658,Q8LPS5,High similarity (0.986) - possible mislabel?; Correct family at rank 2,273,275
P25389,CAMK,AGC,0.9854433,Q7TPS0,High similarity (0.985) - possible mislabel?; Correct family at rank 2,265,258
Q03142,TK,CAMK,0.98438483,Q08345,High similarity (0.984) - possible mislabel?; Correct family at rank 2,277,295
Q18846,AGC,CAMK,0.98412377,Q9FX86,High similarity (0.984) - possible mislabel?; Correct family not in top-5,271,263
P28708,CAMK,TK,0.9840729,O74526,High similarity (0.984) - possible mislabel?; Correct family not in top-5,317,297
Q54DY0,TK,CAMK,0.9838959,Q54VU4,High similarity (0.984) - possible mislabel?; Correct family not in top-5,148,264
Q54PK9,AGC,TK,0.9835142,Q8MYF1,High similarity (0.984) - possible mislabel?; Correct family at rank 2,257,256
P87050,CAMK,AGC,0.9823314,Q7TPS0,High similarity (0.982) - possible mislabel?; Correct family at rank 2,253,258
Q556J6,CMGC,TK,0.9818764,Q554L2,High similarity (0.982) - possible mislabel?; Correct family at rank 4,378,368
P47042,TK,CMGC,0.9813446,P43568,High similarity (0.981) - possible mislabel?; Correct family at rank 2,354,351
Q8RXY0,TK,CMGC,0.9802648,P43568,High similarity (0.980) - possible mislabel?; Correct family at rank 2,345,351
P0C1B1,STE,AGC,0.97930735,Q9Y1J3,STE is diverse family; High similarity (0.979) - possible mislabel?; Correct family not in top-5,147,170
P38679,STE,AGC,0.9788669,P13677,STE is diverse family; High similarity (0.979) - possible mislabel?; Correct family not in top-5,163,259
Q07538,CMGC,TK,0.97857636,G5EDB2,High similarity (0.979) - possible mislabel?; Correct family at rank 2,316,313
G3V9H8,CAMK,TK,0.97719866,P08941,High similarity (0.977) - possible mislabel?; Correct family at rank 2,282,277
Q12236,AGC,STE,0.97694373,Q10056,High similarity (0.977) - possible mislabel?; Correct family not in top-5,265,258
Q5A3P6,AGC,STE,0.9768916,Q10056,High similarity (0.977) - possible mislabel?; Correct family not in top-5,263,258
Q80YS9,TKL,AGC,0.9763688,Q9BXU1,TKL is diverse family; High similarity (0.976) - possible mislabel?; Correct family not in top-5,264,181
Q03407,AGC,CAMK,0.9756788,Q54MH0,High similarity (0.976) - possible mislabel?; Correct family not in top-5,267,274
J9VH94,AGC,CAMK,0.9752728,P38622,High similarity (0.975) - possible mislabel?; Correct family not in top-5,229,294
P54740,AGC,TK,0.9748339,P49695,High similarity (0.975) - possible mislabel?; Correct family not in top-5,257,249
Q6FP74,STE,AGC,0.97425187,P34102,STE is diverse family; High similarity (0.974) - possible mislabel?; Correct family not in top-5,175,266
Q5AP53,STE,AGC,0.97416174,E9PSL7,STE is diverse family; High similarity (0.974) - possible mislabel?; Correct family not in top-5,186,263
A3CXS0,TK,Atypical,0.97414786,D4GYY1,High similarity (0.974) - possible mislabel?; Correct family at rank 2,89,98
P54739,AGC,TK,0.9732596,P49695,High similarity (0.973) - possible mislabel?; Correct family not in top-5,265,249
Q2QSL4,CMGC,CAMK,0.9727743,Q69IM9,High similarity (0.973) - possible mislabel?; Correct family not in top-5,292,264
O29592,TK,Atypical,0.97260296,Q58473,High similarity (0.973) - possible mislabel?; Correct family at rank 2,138,167
P36894,TKL,AGC,0.97104144,Q8NFD2,TKL is diverse family; High similarity (0.971) - possible mislabel?; Correct family at rank 2,289,262
Q54TW2,TK,AGC,0.9707363,P34100,High similarity (0.971) - possible mislabel?; Correct family at rank 2,165,256
Q54DK3,TK,CAMK,0.9698328,Q54BF0,High similarity (0.970) - possible mislabel?; Correct family at rank 2,162,293
P36896,TKL,AGC,0.9689881,Q8NFD2,TKL is diverse family; High similarity (0.969) - possible mislabel?; Correct family at rank 2,288,262
P80203,TKL,AGC,0.9673666,Q8NFD2,TKL is diverse family; High similarity (0.967) - possible mislabel?; Correct family at rank 2,289,262
Q5Z754,CMGC,CAMK,0.9671549,Q8GVC7,High similarity (0.967) - possible mislabel?; Correct family at rank 3,173,280
Q86HN7,TK,CAMK,0.9668685,Q6SA08,High similarity (0.967) - possible mislabel?; Correct family at rank 2,254,269
P37172,TKL,AGC,0.96677893,Q8NFD2,TKL is diverse family; High similarity (0.967) - possible mislabel?; Correct family at rank 2,288,262
Q0D4B2,CAMK,AGC,0.96598816,P11792,High similarity (0.966) - possible mislabel?; Correct family at rank 5,256,260
P0C8M8,TK,CAMK,0.9653517,Q9BXA7,High similarity (0.965) - possible mislabel?; Correct family not in top-5,256,261
Q8NE28,TKL,CAMK,0.96447366,Q6FQH2,TKL is diverse family; High similarity (0.964) - possible mislabel?; Correct family not in top-5,270,245
Q9FJ54,CAMK,AGC,0.96372736,P11792,High similarity (0.964) - possible mislabel?; Correct family at rank 2,255,260
O75716,TKL,STE,0.9593006,Q9FX43,TKL is diverse family; High similarity (0.959) - possible mislabel?; Correct family not in top-5,271,260
Q0JI49,CAMK,CK1,0.9587711,P50530,High similarity (0.959) - possible mislabel?; Correct family not in top-5,256,262
Q93VD3,CAMK,AGC,0.95349765,Q5AHG6,High similarity (0.953) - possible mislabel?; Correct family not in top-5,256,262
Q0GGW5,CAMK,AGC,0.9510731,P49137,High similarity (0.951) - possible mislabel?; Correct family not in top-5,261,262
